id,sourceType,sourceUrl,author,date,rawText,normalizedText,productName,language,region
play-08e886e1-41c7-42c3-b598-00771e42c027,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=08e886e1-41c7-42c3-b598-00771e42c027,user_6ca383,2026-06-16T00:55:07.635Z,Free version sucks! Whenever I play my Playlist or album it always decides the order of songs which is annoying and the 6 skips per hour is super annoying and premium is really expensive while you can get the experience cheaper on apple music!,Free version sucks! Whenever I play my Playlist or album it always decides the order of songs which is annoying and the 6 skips per hour is super annoying and premium is really expensive while you can get the experience cheaper on apple music!,Spotify Android,en,US
play-fa121d22-ac26-4569-b56d-6f527b7faa66,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=fa121d22-ac26-4569-b56d-6f527b7faa66,user_a2fcb8,2026-06-16T00:43:45.530Z,I figured since I don't see any surveys from u guys I figure I just leave my suggestion here do u think it be possible to have the lyrics or subtitles on music videos especially since am using music to learn Russian and German at the same time some of them do but it's rare which is y I want to ask but anyway the videos quality is really amazing and I love the new video for u playlist that updates daily makes it easier to find them so I can just sat back and relax.,I figured since I don't see any surveys from u guys I figure I just leave my suggestion here do u think it be possible to have the lyrics or subtitles on music videos especially since am using music to learn Russian and German at the same time some of them do but it's rare which is y I want to ask but anyway the videos quality is really amazing and I love the new video for u playlist that updates daily makes it easier to find them so I can just sat back and relax.,Spotify Android,en,US
play-bd86921e-65c6-4b78-a757-e64e4bf861ac,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=bd86921e-65c6-4b78-a757-e64e4bf861ac,user_0b01cd,2026-06-16T00:22:25.153Z,Hi! when everytime I open up a playlist or my liked songs the songs won't appear in addition I can't also play my songs too. What is this bug/glitch???,Hi! when everytime I open up a playlist or my liked songs the songs won't appear in addition I can't also play my songs too. What is this bug/glitch???,Spotify Android,en,US
play-2272dfce-03c4-4ad7-a3a6-2d1d9f82d9a9,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=2272dfce-03c4-4ad7-a3a6-2d1d9f82d9a9,user_3b6390,2026-06-15T23:13:39.345Z,"The new widget is a major downgrade. The new widget takes forever to load, doesn't pick up where I left off, and doesn't have the quick add to playlist plus sign. The worst part is I'm forced to use the new widget because the old one isn't an option anymore.","The new widget is a major downgrade. The new widget takes forever to load, doesn't pick up where I left off, and doesn't have the quick add to playlist plus sign. The worst part is I'm forced to use the new widget because the old one isn't an option anymore.",Spotify Android,en,US
play-9b21af36-354a-472e-b6a8-8004bbe6c8e6,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9b21af36-354a-472e-b6a8-8004bbe6c8e6,user_89e9bc,2026-06-15T23:11:55.680Z,"Spotify still don't understand shuffle. Repeating the same 30 songs out of 3000 does not constitute shuffle. It's understandable to not have proper random, but if I start playing from a song, it's not supposed to fall into the same set of songs every time. I've been using Spotify for 10 years, this problem has somehow only gotten worse.","Spotify still don't understand shuffle. Repeating the same 30 songs out of 3000 does not constitute shuffle. It's understandable to not have proper random, but if I start playing from a song, it's not supposed to fall into the same set of songs every time. I've been using Spotify for 10 years, this problem has somehow only gotten worse.",Spotify Android,en,US
play-9ac87dd0-1499-40ed-a2c3-1c5f5ac86883,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=9ac87dd0-1499-40ed-a2c3-1c5f5ac86883,user_c38a8c,2026-06-15T22:32:06.446Z,"Ads every few songs, plays random songs when you listen to a Playlist, and you can only choose a song you want to listen to a limited amount of times per day. But dw, just buy premium and everything will be alright! (Why not just make the whole app a paid app atp)","Ads every few songs, plays random songs when you listen to a Playlist, and you can only choose a song you want to listen to a limited amount of times per day. But dw, just buy premium and everything will be alright! (Why not just make the whole app a paid app atp)",Spotify Android,en,US
play-7215278f-ce53-401a-9f55-abff02d99ea5,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=7215278f-ce53-401a-9f55-abff02d99ea5,user_b0dfa8,2026-06-15T22:05:58.452Z,I love Spotify as I can ofc listen to music and add music with my friends and blah blah blah but it's that I can't download the songs or playlists without premium. and as I'm a minor I can buy premium and as a Asian I'd get beaten with a chappal if I ask premium. so sad. that's why 3 stars.,I love Spotify as I can ofc listen to music and add music with my friends and blah blah blah but it's that I can't download the songs or playlists without premium. and as I'm a minor I can buy premium and as a Asian I'd get beaten with a chappal if I ask premium. so sad. that's why 3 stars.,Spotify Android,en,US
play-3efb58b0-e1be-4484-b40e-8f6985d51f2e,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=3efb58b0-e1be-4484-b40e-8f6985d51f2e,user_324f8f,2026-06-15T22:01:27.135Z,"still no fix every update a feature breaks which is crazy considering i pay for PREMIUM. once play queue is done its supposed to continue with recommended songs or my playlist but stops altogether. only 1 song stays in queue even if i added multiple. QUEUE ISSUE STILL THERE.i hate paying for features that dont even work.Hiding songs doesnt work anymore,songs that i dont even play are auto added to OnRepeat since algo pushes the SAME 12 SONGS. no ads is the ONLY feature that works properly","still no fix every update a feature breaks which is crazy considering i pay for PREMIUM. once play queue is done its supposed to continue with recommended songs or my playlist but stops altogether. only 1 song stays in queue even if i added multiple. QUEUE ISSUE STILL THERE.i hate paying for features that dont even work.Hiding songs doesnt work anymore,songs that i dont even play are auto added to OnRepeat since algo pushes the SAME 12 SONGS. no ads is the ONLY feature that works properly",Spotify Android,en,US
play-c1bce716-5e52-42ad-aa1b-96e7732b76e2,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=c1bce716-5e52-42ad-aa1b-96e7732b76e2,user_75e487,2026-06-15T21:13:57.336Z,"hate the new widget the old one was fine, also I pay for premium why do I get sponsored recommendation","hate the new widget the old one was fine, also I pay for premium why do I get sponsored recommendation",Spotify Android,en,US
play-7c3feaf3-678f-412c-878a-febf2e85f57b,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=7c3feaf3-678f-412c-878a-febf2e85f57b,user_058253,2026-06-15T18:26:27.383Z,New widget is stupid! It keeps changing and is distracting. Stay on the last thing I played. I'm not interested in your recommendations.,New widget is stupid! It keeps changing and is distracting. Stay on the last thing I played. I'm not interested in your recommendations.,Spotify Android,en,US
play-1f1074c2-8941-4282-bf9c-c209c426d762,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=1f1074c2-8941-4282-bf9c-c209c426d762,user_1466ec,2026-06-15T18:16:21.374Z,"this app is absolutely terrible, though they give you a temporary time to have a bit freedom which is just picking music only. I get 4 ads and once I'm done I switch to a new song and get another stupid ad. wanna fast forward music to the part u like, wanna skip 3-5 unskippable ads that are 15-30 seconds each, wanna choose which song to listen from ur playlist, wanna be able to repeat ur music automatically, wanna have ur songs play in order, well too bad u can't, u gotta be a premium person.","this app is absolutely terrible, though they give you a temporary time to have a bit freedom which is just picking music only. I get 4 ads and once I'm done I switch to a new song and get another stupid ad. wanna fast forward music to the part u like, wanna skip 3-5 unskippable ads that are 15-30 seconds each, wanna choose which song to listen from ur playlist, wanna be able to repeat ur music automatically, wanna have ur songs play in order, well too bad u can't, u gotta be a premium person.",Spotify Android,en,US
play-44ba1b50-560d-4bdd-a7bd-7eb376a2976b,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=44ba1b50-560d-4bdd-a7bd-7eb376a2976b,user_48d437,2026-06-15T17:23:19.755Z,"Overall I like the app now that I am on premium. If the price raises any more I'll go back to radio though. They have most of the songs I like, but there is a growing library of of music I cannot listen to anymore. The new widget is also very limited. the old widget would allow me to activate an auto-generated Playlist then mark the songs I liked. the new widget still plays the Playlist but I have to open the app to mark the songs I like.","Overall I like the app now that I am on premium. If the price raises any more I'll go back to radio though. They have most of the songs I like, but there is a growing library of of music I cannot listen to anymore. The new widget is also very limited. the old widget would allow me to activate an auto-generated Playlist then mark the songs I liked. the new widget still plays the Playlist but I have to open the app to mark the songs I like.",Spotify Android,en,US
